src/app/api/admin/media/upload-async/__tests__/route.test.ts(10,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(11,16): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(14,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(15,20): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(18,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(20,10): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(22,26): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(25,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(27,13): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(31,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(33,11): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(34,12): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(35,11): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(36,12): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(40,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(41,27): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(42,26): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(42,40): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(43,19): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(46,1): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(47,14): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(48,10): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(59,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(66,3): error TS2304: Cannot find name 'beforeEach'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(67,5): error TS2708: Cannot use namespace 'jest' as a value.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(68,27): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(69,31): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(70,37): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(71,40): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(72,35): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(73,25): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(74,21): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(105,3): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(106,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(115,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(116,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(117,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(118,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(119,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(122,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(127,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(130,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(135,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(136,9): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(141,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(146,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(147,9): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(148,9): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(152,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(160,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(161,9): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(162,21): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(171,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(178,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(179,9): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(189,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(196,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(197,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(197,62): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(198,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(202,3): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(203,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(204,33): error TS2694: Namespace 'global.jest' has no exported member 'Mock'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(210,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(211,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(212,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(215,5): error TS2582: Cannot find name 'it'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(221,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(222,7): error TS2304: Cannot find name 'expect'.
src/app/api/admin/media/upload-async/__tests__/route.test.ts(223,7): error TS2304: Cannot find name 'expect'.
